# File created by cg/ins/runs/readTerrain.m (matlab script)
# This is the 3D surface
# This file is included in the ogen script terrainGrid.cmd.
# You should define the variable $degree to be the degree of the NURBS
# xScale=1.000000e+00 yScale=1.000000e+00 zScale=1.000000e+00
$xMin=0.000000e+00; $xMax=1.485494e+03; $yMin=0.000000e+00; $yMax=1.484251e+03; $zMin=2.279695e+02; $zMax=4.707399e+02;# bounds
183 145 $degree
1.150850e+03 0.000000e+00 2.431746e+02
1.159012e+03 0.000000e+00 2.462449e+02
1.167174e+03 0.000000e+00 2.495716e+02
1.175336e+03 0.000000e+00 2.530749e+02
1.183498e+03 0.000000e+00 2.566983e+02
1.191660e+03 0.000000e+00 2.604055e+02
1.199822e+03 0.000000e+00 2.641779e+02
1.207984e+03 0.000000e+00 2.680108e+02
1.216146e+03 0.000000e+00 2.719100e+02
1.224308e+03 0.000000e+00 2.758881e+02
1.232470e+03 0.000000e+00 2.799600e+02
1.240633e+03 0.000000e+00 2.841379e+02
1.248795e+03 0.000000e+00 2.884266e+02
1.256957e+03 0.000000e+00 2.928179e+02
1.265119e+03 0.000000e+00 2.972813e+02
1.273281e+03 0.000000e+00 3.017543e+02
1.281443e+03 0.000000e+00 3.061314e+02
1.289605e+03 0.000000e+00 3.102607e+02
1.297767e+03 0.000000e+00 3.139515e+02
1.305929e+03 0.000000e+00 3.169955e+02
1.314091e+03 0.000000e+00 3.191976e+02
1.322253e+03 0.000000e+00 3.204091e+02
1.330415e+03 0.000000e+00 3.205512e+02
1.338577e+03 0.000000e+00 3.196258e+02
1.346739e+03 0.000000e+00 3.177095e+02
1.354901e+03 0.000000e+00 3.149372e+02
1.363063e+03 0.000000e+00 3.114820e+02
1.371225e+03 0.000000e+00 3.075382e+02
1.379388e+03 0.000000e+00 3.033125e+02
1.387550e+03 0.000000e+00 2.990179e+02
1.395712e+03 0.000000e+00 2.948638e+02
1.403874e+03 0.000000e+00 2.910274e+02
1.412036e+03 0.000000e+00 2.876190e+02
1.420198e+03 0.000000e+00 2.846858e+02
1.428360e+03 0.000000e+00 2.822396e+02
1.436522e+03 0.000000e+00 2.802728e+02
1.444684e+03 0.000000e+00 2.787619e+02
1.452846e+03 0.000000e+00 2.776731e+02
1.461008e+03 0.000000e+00 2.769707e+02
1.469170e+03 0.000000e+00 2.766266e+02
1.477332e+03 0.000000e+00 2.766266e+02
1.485494e+03 0.000000e+00 2.766266e+02
0.000000e+00 1.030730e+01 3.058585e+02
8.162056e+00 1.030730e+01 3.058585e+02
1.632411e+01 1.030730e+01 3.058585e+02
2.448617e+01 1.030730e+01 3.058897e+02
3.264823e+01 1.030730e+01 3.059463e+02
4.081028e+01 1.030730e+01 3.060012e+02
4.897234e+01 1.030730e+01 3.060246e+02
5.713439e+01 1.030730e+01 3.059877e+02
6.529645e+01 1.030730e+01 3.058631e+02
7.345851e+01 1.030730e+01 3.056209e+02
8.162056e+01 1.030730e+01 3.052187e+02
8.978262e+01 1.030730e+01 3.045928e+02
9.794468e+01 1.030730e+01 3.036772e+02
1.061067e+02 1.030730e+01 3.024422e+02
1.142688e+02 1.030730e+01 3.009051e+02
1.224308e+02 1.030730e+01 2.991130e+02
1.305929e+02 1.030730e+01 2.971225e+02
1.387550e+02 1.030730e+01 2.949839e+02
1.469170e+02 1.030730e+01 2.927310e+02
1.550791e+02 1.030730e+01 2.903762e+02
1.632411e+02 1.030730e+01 2.879118e+02
1.714032e+02 1.030730e+01 2.853146e+02
1.795652e+02 1.030730e+01 2.825541e+02
1.877273e+02 1.030730e+01 2.796002e+02
1.958894e+02 1.030730e+01 2.764300e+02
2.040514e+02 1.030730e+01 2.730325e+02
2.122135e+02 1.030730e+01 2.694116e+02
2.203755e+02 1.030730e+01 2.655881e+02
2.285376e+02 1.030730e+01 2.616004e+02
2.366996e+02 1.030730e+01 2.575050e+02
2.448617e+02 1.030730e+01 2.533777e+02
2.530237e+02 1.030730e+01 2.493136e+02
2.611858e+02 1.030730e+01 2.454284e+02
2.693479e+02 1.030730e+01 2.418561e+02
2.775099e+02 1.030730e+01 2.387434e+02
2.856720e+02 1.030730e+01 2.362372e+02
2.938340e+02 1.030730e+01 2.344666e+02
3.019961e+02 1.030730e+01 2.335215e+02
3.101581e+02 1.030730e+01 2.334317e+02
3.183202e+02 1.030730e+01 2.341544e+02
3.264823e+02 1.030730e+01 2.355728e+02
3.346443e+02 1.030730e+01 2.375089e+02
3.428064e+02 1.030730e+01 2.397485e+02
3.509684e+02 1.030730e+01 2.420746e+02
3.591305e+02 1.030730e+01 2.442987e+02
3.672925e+02 1.030730e+01 2.462874e+02
3.754546e+02 1.030730e+01 2.479766e+02
3.836166e+02 1.030730e+01 2.493721e+02
3.917787e+02 1.030730e+01 2.505391e+02
3.999408e+02 1.030730e+01 2.515813e+02
4.081028e+02 1.030730e+01 2.526154e+02
4.162649e+02 1.030730e+01 2.537463e+02
4.244269e+02 1.030730e+01 2.550476e+02
4.325890e+02 1.030730e+01 2.565533e+02
4.407510e+02 1.030730e+01 2.582597e+02
