# File created by cgDoc/nif/afm/afm3d.m (matlab script)
# This file is included in afm3d.cmd which is used by the ogen script interfaceBump3d.cmd
# You should define the variable $degree to be the degree of the NURBS
# xScale=1.000000e+05 yScale=1.000000e+05 zScale=1.000000e+05
$xa=2.191780e+00; $xb=2.808220e+00; $ya=2.191780e+00; $yb=2.808220e+00; # horizonatal bounds
$zMin=-4.515180e-02; $zMax=2.100380e-02; # vertical bounds
64 64 $degree
2.690800e+00 2.221140e+00 -1.169891e-02
2.700590e+00 2.221140e+00 -1.307019e-02
2.710370e+00 2.221140e+00 -1.451926e-02
2.720160e+00 2.221140e+00 -1.600771e-02
2.729940e+00 2.221140e+00 -1.748786e-02
2.739730e+00 2.221140e+00 -1.890445e-02
2.749510e+00 2.221140e+00 -2.019787e-02
2.759300e+00 2.221140e+00 -2.130843e-02
2.769080e+00 2.221140e+00 -2.218151e-02
2.778860e+00 2.221140e+00 -2.277311e-02
2.788650e+00 2.221140e+00 -2.305762e-02
2.798430e+00 2.221140e+00 -2.305762e-02
2.808220e+00 2.221140e+00 -2.305762e-02
2.191780e+00 2.230920e+00 -3.346972e-03
2.201570e+00 2.230920e+00 -3.346972e-03
2.211350e+00 2.230920e+00 -3.346972e-03
2.221140e+00 2.230920e+00 -3.432204e-03
2.230920e+00 2.230920e+00 -3.592625e-03
2.240700e+00 2.230920e+00 -3.817074e-03
2.250490e+00 2.230920e+00 -4.091287e-03
2.260270e+00 2.230920e+00 -4.398960e-03
2.270060e+00 2.230920e+00 -4.723251e-03
2.279840e+00 2.230920e+00 -5.048176e-03
2.289630e+00 2.230920e+00 -5.359690e-03
2.299410e+00 2.230920e+00 -5.646344e-03
2.309200e+00 2.230920e+00 -5.899473e-03
2.318980e+00 2.230920e+00 -6.113007e-03
2.328770e+00 2.230920e+00 -6.282993e-03
2.338550e+00 2.230920e+00 -6.407018e-03
2.348340e+00 2.230920e+00 -6.483707e-03
2.358120e+00 2.230920e+00 -6.512480e-03
2.367910e+00 2.230920e+00 -6.493737e-03
2.377690e+00 2.230920e+00 -6.429604e-03
2.387480e+00 2.230920e+00 -6.325174e-03
2.397260e+00 2.230920e+00 -6.189815e-03
2.407050e+00 2.230920e+00 -6.037570e-03
2.416830e+00 2.230920e+00 -5.885869e-03
2.426610e+00 2.230920e+00 -5.752926e-03
2.436400e+00 2.230920e+00 -5.655162e-03
2.446180e+00 2.230920e+00 -5.604912e-03
2.455970e+00 2.230920e+00 -5.607444e-03
2.465750e+00 2.230920e+00 -5.657344e-03
2.475540e+00 2.230920e+00 -5.736950e-03
2.485320e+00 2.230920e+00 -5.820194e-03
2.495110e+00 2.230920e+00 -5.882002e-03
2.504890e+00 2.230920e+00 -5.908590e-03
2.514680e+00 2.230920e+00 -5.901789e-03
2.524460e+00 2.230920e+00 -5.873662e-03
2.534250e+00 2.230920e+00 -5.834596e-03
2.544030e+00 2.230920e+00 -5.783703e-03
2.553820e+00 2.230920e+00 -5.709817e-03
